-1 9 1 0
0  2.41002 0.95759
1  3.897 0.898113
2  3.99755 1.12409
3  3.17145 1.0273
4  1.59527 1.01239
5  0.976738 1.03708
6  2.87056 0.92192
7  1.63006 1.01239
8  5.41096 0.866878
-2 9 1 0
-1 8 2 0
0  1.37962 0.918149
1  3.80515 1.05283
2  2.24444 1.12743
3  0.715081 0.964504
4  0.728273 0.964504
5  4.30723 0.936261
6  3.59055 1.08947
7  2.62079 0.957391
-2 8 2 0
-1 8 3 0
0  4.24424 1.02132
1  3.80845 1.05283
2  4.25883 1.02132
3  1.29503 1.09799
4  1.92845 0.985023
5  0.666799 1.0803
6  4.34067 0.936261
7  4.68737 1.06319
-2 8 3 0
-1 8 4 0
0  3.67795 0.923826
1  3.08776 0.896454
2  5.94967 0.972691
3  0.655462 1.0803
4  4.45686 0.897455
5  3.18719 1.0273
6  0.565096 1.1144
7  5.41524 0.866878
-2 8 4 0
-1 9 5 0
0  0.402997 0.931017
1  4.50328 0.897455
2  1.73346 0.879968
3  4.66703 1.06319
4  1.87038 0.967008
5  3.46129 1.09799
6  1.56829 0.890079
7  2.90489 1.13078
8  1.16768 0.953882
-2 9 5 0
-1 8 6 0
0  0.592148 1.1144
1  4.30382 0.936261
2  5.88498 0.946012
3  6.04623 1.12464
4  0.797231 1.12431
5  1.23536 1.09799
6  3.90462 0.898113
7  0.0892988 1.0043
-2 8 6 0
-1 8 7 0
0  2.72993 0.901736
1  0.574754 1.1144
2  0.953308 0.952832
3  2.16784 0.893279
4  5.37684 1.13108
5  5.09902 1.1396
6  4.22136 1.02132
7  3.85601 0.898113
-2 8 7 0
-1 9 8 0
0  3.48382 1.09799
1  4.98464 0.859337
2  0.797624 1.12431
3  2.93144 1.13078
4  2.93699 1.13078
5  5.9795 0.972691
6  5.25425 1.12083
7  0.970946 1.03708
8  0.746489 0.964504
-2 9 8 0
-1 8 9 0
0  4.00615 1.12409
1  4.01863 1.02588
2  2.50955 1.09227
3  3.93957 1.12409
4  0.989173 1.03708
5  2.45041 1.09227
6  1.41482 0.891453
7  4.21409 1.02132
-2 8 9 0
-1 9 10 0
0  1.86848 0.967008
1  2.36152 0.95759
2  0.0484052 0.892567
3  3.35439 0.895615
4  2.06797 1.13264
5  6.21329 0.996819
6  2.5857 0.906557
7  6.18761 0.954935
8  5.54087 0.87962
-2 9 10 0

